bal_acc,f1_score,precision,recall
0.26958689458689455,0.2582281122193452,0.29824510482343847,0.27312775330396477
0.15883190883190887,0.1458078076934592,0.15273375295919994,0.15859030837004406
0.20975783475783477,0.18570847365362073,0.1897913638001744,0.20704845814977973
0.2175925925925926,0.203031465657745,0.2483146358754984,0.21585903083700442
0.2218660968660969,0.20699572980813885,0.23950178346410148,0.22123893805309736
0.22364672364672364,0.21005533237311405,0.21461741952153976,0.22466960352422907
0.21972934472934474,0.21112438664484728,0.23927558385967299,0.22026431718061673
0.24287749287749286,0.21925932505807302,0.23631018741150897,0.2422907488986784
0.20904558404558404,0.19140958554170281,0.20120084631616114,0.20704845814977973
0.2254273504273504,0.21768319655769153,0.23680144041780662,0.22566371681415928
0.23041310541310545,0.206405868867243,0.21327034859933913,0.23348017621145375
0.22792022792022795,0.2116610298375899,0.2424292669640183,0.2290748898678414
0.22257834757834757,0.2070952223694392,0.23135649379815146,0.22026431718061673
0.20405982905982908,0.17746175410183188,0.1850306110595537,0.2026431718061674
0.2168803418803419,0.20795902463395108,0.239659734263428,0.2168141592920354
0.1712962962962963,0.1568103426293042,0.15691973692427177,0.17180616740088106
0.2037037037037037,0.18299844801586432,0.1824748777027411,0.2026431718061674
0.1891025641025641,0.18392002087357773,0.2063841369021378,0.1894273127753304
0.18162393162393162,0.16646973222321762,0.1778208830353509,0.18061674008810572
0.2069088319088319,0.20289437779025438,0.28044872102791496,0.2079646017699115
0.2361111111111111,0.2244854144651413,0.2705382013972322,0.23788546255506607
0.18233618233618235,0.1633926057484763,0.1817602767099983,0.18061674008810572
0.17165242165242167,0.15908373075135987,0.16736251569109825,0.17180616740088106
0.23967236467236466,0.21292093295515713,0.21857728385010738,0.23788546255506607
0.24501424501424499,0.22459189608935803,0.25374014590332866,0.24336283185840707
